gene_id	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3
gene_0001	1	3	2	0	0	1
gene_0002	0	0	0	0	0	0
gene_0003	0	0	0	0	0	0
gene_0004	0	1	0	0	0	0
gene_0005	4	8	9	8	6	15
gene_0006	0	0	0	0	0	0
gene_0007	0	0	0	0	0	0
gene_0008	0	0	0	0	0	0
gene_0009	29	36	29	43	58	79
gene_0010	67	85	64	772	955	1148
gene_0011	129	122	90	640	915	1120
gene_0012	1268	1906	1454	1083	1123	1392
gene_0013	353	484	341	142	223	254
gene_0014	299	445	291	180	174	215
gene_0015	316	430	341	413	560	657
gene_0016	50	56	56	82	93	128
gene_0017	129	139	96	10090	11801	13869
gene_0018	1091	1158	791	936	971	1295
gene_0019	322	414	277	264	333	419
gene_0020	434	484	380	464	675	779
gene_0021	197	255	180	250	263	320
gene_0022	145	203	141	130	146	188
gene_0023	153	196	130	151	168	187
gene_0024	105	187	111	180	195	292
gene_0025	1614	1988	1640	808	736	1009
gene_0026	421	578	425	345	388	477
gene_0027	1673	2309	1617	774	763	1146
gene_0028	440	612	470	312	347	455
gene_0029	465	646	463	263	306	293
gene_0030	431	459	371	323	361	554
gene_0031	28478	41124	31561	8598	13816	17422
gene_0032	12	11	9	3	3	8
gene_0033	76	83	55	52	69	82
gene_0034	653	931	701	309	312	412
gene_0035	2875	4457	3376	1556	1821	2255
gene_0036	95	130	97	80	91	127
gene_0037	138	169	127	354	481	564
gene_0038	177	254	169	61	78	123
gene_0039	122	169	133	207	223	272
gene_0040	279	302	239	203	227	262
gene_0041	165	203	128	245	297	414
gene_0042	962	1330	1001	356	432	540
gene_0043	55	74	41	80	78	115
gene_0044	125	153	119	189	216	289
gene_0045	640	920	635	340	419	565
gene_0047	868	1155	916	323	419	519
gene_0048	252	357	226	150	194	255
gene_0049	2674	3639	2645	863	893	1147
gene_0050	356	501	350	240	229	283
gene_0051	585	816	619	449	461	545
gene_0052	238	337	209	154	150	210
gene_0053	654	1036	793	300	358	517
gene_0054	7	2	5	9	17	34
gene_0055	462	638	486	595	806	981
gene_0056	871	1075	867	984	1260	1576
gene_0057	234	276	210	202	247	311
gene_0058	285	307	237	166	186	231
gene_0059	375	470	374	321	371	480
gene_0060	2878	3779	2891	738	899	1357
gene_0061	220	327	213	213	230	316
gene_0062	140	217	141	181	188	254
gene_0063	225	239	163	185	200	233
