# Program:featureCounts v1.6.2; Command:"../tools/subread-1.6.2-Linux-x86_64/bin/featureCounts" "-p" "-T" "8" "-t" "exon" "-g" "gene_id" "-a" "../reference/s288c_e.gff" "-o" "../featurecount/counts.txt" "SRR453566.sorted.bam" "SRR453567.sorted.bam" "SRR453568.sorted.bam" "SRR453569.sorted.bam" "SRR453570.sorted.bam" "SRR453571.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566.sorted.bam	SRR453567.sorted.bam	SRR453568.sorted.bam	SRR453569.sorted.bam	SRR453570.sorted.bam	SRR453571.sorted.bam
gene_0001	NC_001133.9	1807	2169	-	363	1	3	2	0	0	1
gene_0002	NC_001133.9	2480	2707	+	228	0	0	0	0	0	0
gene_0003	NC_001133.9	7235	9016	-	1782	0	0	0	0	0	0
gene_0004	NC_001133.9	11565	11951	-	387	0	1	0	0	0	0
gene_0005	NC_001133.9	12046	12426	+	381	4	8	9	8	6	15
gene_0006	NC_001133.9	13363	13743	-	381	0	0	0	0	0	0
gene_0007	NC_001133.9	21566	21850	+	285	0	0	0	0	0	0
gene_0008	NC_001133.9	22395	22685	-	291	0	0	0	0	0	0
gene_0009	NC_001133.9	24000	27968	-	3969	29	36	29	43	58	79
gene_0010	NC_001133.9	31567	32940	+	1374	67	85	64	772	955	1148
gene_0011	NC_001133.9	33448	34701	+	1254	129	122	90	640	915	1120
gene_0012	NC_001133.9	35155	36303	+	1149	1268	1906	1454	1083	1123	1392
gene_0013	NC_001133.9	36509	37147	+	639	353	484	341	142	223	254
gene_0014	NC_001133.9	37464	38972	+	1509	299	445	291	180	174	215
gene_0015	NC_001133.9	39259	41901	+	2643	316	430	341	413	560	657
gene_0016	NC_001133.9	42177	42719	+	543	50	56	56	82	93	128
gene_0017	NC_001133.9	42881	45022	-	2142	129	139	96	10090	11801	13869
gene_0018	NC_001133.9	45899	48250	+	2352	1091	1158	791	936	971	1295
gene_0019	NC_001133.9	48564	51707	+	3144	322	414	277	264	333	419
gene_0020	NC_001133.9	51855	52595	-	741	434	484	380	464	675	779
gene_0021	NC_001133.9	52801	54789	-	1989	197	255	180	250	263	320
gene_0022	NC_001133.9	54989	56857	-	1869	145	203	141	130	146	188
gene_0023	NC_001133.9	57029	57385	-	357	153	196	130	151	168	187
gene_0024	NC_001133.9	57518	57850	+	333	105	187	111	180	195	292
gene_0025	NC_001133.9	57950	58462	-	513	1614	1988	1640	808	736	1009
gene_0026	NC_001133.9	58695	61052	-	2358	421	578	425	345	388	477
gene_0027	NC_001133.9	61316	62563	+	1248	1673	2309	1617	774	763	1146
gene_0028	NC_001133.9	62840	65404	+	2565	440	612	470	312	347	455
gene_0029	NC_001133.9	65778	67520	-	1743	465	646	463	263	306	293
gene_0030	NC_001133.9	68716	69525	-	810	431	459	371	323	361	554
gene_0031	NC_001133.9	71786	73288	+	1503	28478	41124	31561	8598	13816	17422
gene_0032	NC_001133.9	73426	73518	-	93	12	11	9	3	3	8
gene_0033	NC_001133.9	74020	74823	+	804	76	83	55	52	69	82
gene_0034	NC_001133.9	75043	76152	-	1110	653	931	701	309	312	412
gene_0035	NC_001133.9	76427	79435	+	3009	2875	4457	3376	1556	1821	2255
gene_0036	NC_001133.9	79718	80587	+	870	95	130	97	80	91	127
gene_0037	NC_001133.9	80710	81951	-	1242	138	169	127	354	481	564
gene_0038	NC_001133.9	82706	83227	+	522	177	254	169	61	78	123
gene_0039	NC_001133.9	83335	84474	-	1140	122	169	133	207	223	272
gene_0040	NC_001133.9	84749	87031	-	2283	279	302	239	203	227	262
gene_0041	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	165	203	128	245	297	414
gene_0042	NC_001133.9	87855	92270	-	4416	962	1330	1001	356	432	540
gene_0043	NC_001133.9	92900	94486	+	1587	55	74	41	80	78	115
gene_0044	NC_001133.9	94687	95472	+	786	125	153	119	189	216	289
gene_0045	NC_001133.9	95630	99697	-	4068	640	920	635	340	419	565
gene_0046	NC_001133.9	99305	99868	+	564	0	0	0	0	0	3
gene_0047	NC_001133.9	100225	101145	-	921	868	1155	916	323	419	519
gene_0048	NC_001133.9	101565	105872	-	4308	252	357	226	150	194	255
gene_0049	NC_001133.9	106272	108551	-	2280	2674	3639	2645	863	893	1147
gene_0050	NC_001133.9	108877	110430	-	1554	356	501	350	240	229	283
gene_0051	NC_001133.9	110846	113359	-	2514	585	816	619	449	461	545
gene_0052	NC_001133.9	113614	114615	-	1002	238	337	209	154	150	210
gene_0053	NC_001133.9	114919	118314	+	3396	654	1036	793	300	358	517
gene_0054	NC_001133.9	118564	119541	-	978	7	2	5	9	17	34
gene_0055	NC_001133.9	120225	124295	+	4071	462	638	486	595	806	981
gene_0056	NC_001133.9	124879	126786	+	1908	871	1075	867	984	1260	1576
gene_0057	NC_001133.9	126903	128102	-	1200	234	276	210	202	247	311
gene_0058	NC_001133.9	128252	129019	-	768	285	307	237	166	186	231
gene_0059	NC_001133.9	129270	130487	+	1218	375	470	374	321	371	480
gene_0060	NC_001133.9	130799	131983	+	1185	2878	3779	2891	738	899	1357
gene_0061	NC_001133.9	132199	134076	+	1878	220	327	213	213	230	316
gene_0062	NC_001133.9	134184	135665	-	1482	140	217	141	181	188	254
gene_0063	NC_001133.9	135854	136633	+	780	225	239	163	185	200	233
gene_0064	NC_001133.9	136914	137510	+	597	165	182	118	338	425	582
gene_0065	NC_001133.9	137698	138345	-	648	784	1024	718	277	283	359
gene_0066	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	0	0	0	0	0	2
gene_0067	NC_001133.9	139503	141431	-	1929	2909	3363	2399	11601	17579	21160
gene_0068	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	6765	9380	7530	2814	3261	4326
gene_0069	NC_001133.9	142367	142468	+	102	78	74	75	21	45	48
gene_0070	NC_001133.9	143707	147531	+	3825	327	433	301	292	364	436
gene_0071	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	562	776	545	466	596	720
gene_0072	NC_001133.9	152257	153876	+	1620	556	716	544	259	327	357
gene_0073	NC_001133.9	154065	154724	-	660	1137	1518	1044	551	598	825
gene_0074	NC_001133.9	155005	156285	+	1281	344	426	320	168	188	267
gene_0075	NC_001133.9	156754	158619	-	1866	652	837	693	593	701	903
gene_0076	NC_001133.9	158966	159793	+	828	222	293	194	150	169	204
gene_0077	NC_001133.9	160597	164187	-	3591	42	60	54	30	25	11
gene_0078	NC_001133.9	164544	165866	-	1323	1	0	0	0	2	1
gene_0079	NC_001133.9	166267	166339	+	73	0	0	0	0	0	0
gene_0080	NC_001133.9	166742	168871	-	2130	809	1161	850	555	663	759
gene_0081	NC_001133.9	169375	170295	+	921	2621	3795	2857	837	842	1007
gene_0082	NC_001133.9	170396	171703	-	1308	161	223	171	140	118	154
gene_0083	NC_001133.9	172211	175135	-	2925	141	230	141	121	172	220
gene_0084	NC_001133.9	176856	177023	-	168	22	18	11	41	63	62
gene_0085	NC_001133.9	179281	179820	-	540	44	54	44	39	54	50
gene_0086	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	1	0	1	0	0	0
gene_0087	NC_001133.9	182522	182603	-	82	0	0	0	0	1	0
gene_0088	NC_001133.9	183770	184477	+	708	294	341	234	311	372	456
gene_0089	NC_001133.9	184892	185596	+	705	116	126	107	29	24	44
gene_0090	NC_001133.9	186321	186545	+	225	21	28	19	4	4	10
gene_0091	NC_001133.9	186836	187732	+	897	31	33	32	27	35	33
gene_0092	NC_001133.9	188107	188811	+	705	57	103	53	38	56	56
gene_0093	NC_001133.9	190193	192256	+	2064	173	242	187	1235	1179	1374
gene_0094	NC_001133.9	192337	192417	-	81	0	0	2	5	2	3
gene_0095	NC_001133.9	192619	196185	+	3567	518	819	563	447	546	681
gene_0096	NC_001133.9	203403	208016	+	4614	29	36	22	30	38	49
gene_0097	NC_001133.9	218140	219145	+	1006	0	0	2	2	0	1
gene_0098	NC_001133.9	220198	220497	+	300	2	4	3	3	2	4
gene_0099	NC_001133.9	221049	221660	+	612	8	12	8	30	26	32
gene_0100	NC_001133.9	222406	222891	+	486	7	26	28	32	40	64
gene_0101	NC_001133.9	225460	226863	+	1404	50	66	41	36	48	50
gene_0102	NC_001134.8	280	2658	-	2379	413	496	382	422	483	671
gene_0103	NC_001134.8	2582	2899	-	318	1	2	2	1	0	2
gene_0104	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	32	31	25	29	23	45
gene_0105	NC_001134.8	7605	7733	-	129	0	0	0	0	0	0
gene_0106	NC_001134.8	9583	9666	+	84	0	0	0	0	0	0
gene_0107	NC_001134.8	9961	10551	-	591	344	433	324	264	339	372
gene_0108	NC_001134.8	10847	13879	-	3033	250	309	235	279	294	385
gene_0109	NC_001134.8	14241	17696	-	3456	667	964	692	729	820	968
gene_0110	NC_001134.8	18177	21293	-	3117	336	468	378	271	325	393
