gene_id	product	Chr	Start	End	Strand	Length	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3	batch	chemostat	log2fold
gene_0001	seripauperin PAU8	NC_001133.9	1807	2169	-	363	0.5685646754201291	1.2657889770285884	1.1517707951055207	0.0	0.0	0.19537935637350906	0.9953748158514127	0.06512645212450302	-3.93392579436684
gene_0002	hypothetical protein	NC_001133.9	2480	2707	+	228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0003	putative permease SEO1	NC_001133.9	7235	9016	-	1782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0004	hypothetical protein	NC_001133.9	11565	11951	-	387	0.0	0.39576347860583766	0.0	0.0	0.0	0.0	0.13192115953527922	0.0	-inf
gene_0005	hypothetical protein	NC_001133.9	12046	12426	+	381	2.1668134086877364	3.2159677946553105	4.938103920747685	6.4377944940423	1.4829464861459432	2.930690345602636	3.4402950413635778	3.617143775263626	0.07231822797949707
gene_0006	Tda8p	NC_001133.9	13363	13743	-	381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0007	hypothetical protein	NC_001133.9	21566	21850	+	285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0008	hypothetical protein	NC_001133.9	22395	22685	-	291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-inf
gene_0009	flocculin FLO9	NC_001133.9	24000	27968	-	3969	1.5080071398709247	1.3892105779633483	1.5274239304706245	3.321692718439626	14.33514936607745	15.434969153507216	1.474880549434966	11.030603746008097	2.902840758526131
gene_0010	glutamate dehydrogenase (NADP(+)) GDH3	NC_001133.9	31567	32940	+	1374	10.064091317971588	9.47499245177513	9.737241307092962	172.26722799505546	236.03564904489596	224.29550111678842	9.758775025613227	210.8661260522466	4.4334833340803845
gene_0011	putative dehydrogenase BDH2	NC_001133.9	33448	34701	+	1254	21.231401958451666	14.900779010283907	15.003330094137704	156.47844990303773	226.14933913725633	218.82487913833015	17.04517035429109	200.48422272620806	3.55605369904541
gene_0012	(R,R)-butanediol dehydrogenase	NC_001133.9	35155	36303	+	1149	227.76433686777958	254.06775336483483	264.53739303667714	288.9884766661462	277.5581506569824	271.96806407192463	248.78982775643053	279.5048971316844	0.1679460552171724
gene_0013	Ecm1p	NC_001133.9	36509	37147	+	639	114.01456798694826	116.00886643302385	111.55684219917579	68.13332506194766	55.116177735090886	49.626356518871305	113.86009220638265	57.625286438636614	-0.9824882639464759
